受付日時,チケットID,カテゴリ,部門,優先度,対応者役職,対応時間分,解決日,FCRフラグ,SLA達成,再発フラグ,対応形態,問合せソース,要因区分,顧客満足度
2025-12-20 19:52,HD2512200407,PCトラブル,開発,中,課長,22,2025-12-20,あり,達成,あり,オンサイト,チケット,ハード故障,4
2025-12-08 22:49,HD2512080408,VPN,製造,低,課長,35,2025-12-08,あり,達成,なし,リモート,メール,ハード故障,4
2024-09-13 15:09,HD2409130409,メール,人事,低,主任,45,2024-09-13,あり,達成,なし,リモート,チケット,ハード故障,4
2025-05-06 05:34,HD2505060410,メール,営業,低,係長,22,2025-05-06,あり,達成,なし,オンサイト,電話,教育不足,4
2024-05-15 23:53,HD2405150411,アカウント,マーケ,中,主任,83,2024-05-16,あり,達成,なし,リモート,チケット,外部要因,5
2025-07-23 23:30,HD2507230412,アカウント,総務,中,課長,87,2025-07-24,あり,達成,なし,リモート,チケット,その他,5
2024-10-13 00:05,HD2410130413,プリンタ,製造,低,係長,32,2024-10-13,あり,達成,なし,リモート,チケット,その他,4
2024-11-09 01:19,HD2411090414,PCトラブル,総務,中,主任,49,2024-11-09,あり,達成,なし,リモート,チケット,外部要因,5
2025-11-27 10:03,HD2511270415,SaaS利用,製造,高,課長,135,2025-11-27,あり,達成,なし,リモート,チケット,教育不足,5
2025-06-13 03:39,HD2506130416,PCトラブル,マーケ,低,係長,15,2025-06-13,あり,達成,なし,電話,チケット,脆弱性,5
2025-09-24 21:57,HD2509240417,SaaS利用,営業,低,課長,17,2025-09-24,あり,達成,あり,リモート,チケット,仕様,5
2024-01-20 23:01,HD2401200418,セキュリティ,情シス,低,主任,32,2024-01-20,なし,達成,なし,リモート,電話,設定不備,3
2024-06-07 01:37,HD2406070419,セキュリティ,営業,低,主任,37,2024-06-07,あり,達成,なし,電話,チケット,設定不備,5
2025-01-03 06:23,HD2501030420,その他,情シス,高,係長,200,2025-01-03,あり,未達,なし,リモート,メール,脆弱性,2
2024-03-01 21:55,HD2403010421,プリンタ,開発,低,課長,28,2024-03-01,なし,達成,なし,オンサイト,メール,設定不備,4
2026-02-26 19:51,HD2602260422,プリンタ,総務,中,主任,55,2026-02-26,なし,達成,なし,電話,メール,教育不足,3
2025-08-26 15:51,HD2508260423,セキュリティ,営業,低,係長,40,2025-08-26,あり,達成,なし,リモート,メール,設定不備,4
2024-06-10 19:12,HD2406100424,アカウント,人事,高,主任,72,2024-06-10,なし,達成,なし,リモート,チケット,外部要因,3
2026-01-17 03:43,HD2601170425,SaaS利用,総務,低,係長,36,2026-01-17,あり,達成,なし,オンサイト,チャット,教育不足,4
2025-06-27 22:17,HD2506270426,業務システム,人事,低,課長,20,2025-06-27,なし,達成,なし,電話,チケット,設定不備,3
2026-01-16 02:57,HD2601160427,VPN,開発,高,係長,176,2026-01-16,あり,未達,なし,リモート,チャット,設定不備,3
2024-10-30 06:17,HD2410300428,アカウント,製造,高,係長,187,2024-10-30,あり,未達,なし,リモート,チャット,設定不備,3
2024-07-17 05:19,HD2407170429,アカウント,法務,低,係長,43,2024-07-17,あり,達成,なし,リモート,チャット,仕様,4
2024-09-01 16:11,HD2409010430,VPN,製造,高,課長,26,2024-09-01,あり,達成,なし,リモート,チケット,外部要因,5
2025-12-23 08:49,HD2512230431,PCトラブル,法務,低,課長,43,2025-12-23,あり,達成,なし,オンサイト,メール,設定不備,4
2024-06-12 18:51,HD2406120432,PCトラブル,製造,低,係長,32,2024-06-12,なし,達成,なし,オンサイト,チャット,設定不備,5
2025-12-26 22:43,HD2512260433,ネットワーク,人事,低,主任,36,2025-12-26,あり,達成,あり,リモート,チャット,設定不備,5
2025-11-05 03:50,HD2511050434,SaaS利用,人事,低,課長,40,2025-11-05,なし,達成,なし,リモート,電話,外部要因,5
2024-09-19 01:55,HD2409190435,SaaS利用,総務,中,係長,31,2024-09-19,あり,達成,なし,リモート,チケット,設定不備,5
2024-04-30 13:17,HD2404300436,業務システム,経理,低,課長,46,2024-04-30,あり,達成,なし,リモート,チケット,教育不足,5
2025-05-15 23:24,HD2505150437,PCトラブル,製造,低,課長,26,2025-05-15,あり,達成,なし,オンサイト,チケット,設定不備,4
2024-12-07 10:09,HD2412070438,ネットワーク,開発,低,課長,22,2024-12-07,あり,達成,なし,電話,電話,仕様,5
2025-11-12 17:42,HD2511120439,プリンタ,総務,高,主任,140,2025-11-12,なし,未達,なし,リモート,チケット,脆弱性,3
2024-04-11 14:15,HD2404110440,セキュリティ,マーケ,低,係長,35,2024-04-11,なし,達成,なし,オンサイト,チケット,仕様,3
2026-05-17 06:21,HD2605170441,アカウント,経理,中,係長,84,2026-05-17,あり,達成,なし,オンサイト,チャット,教育不足,5
2024-04-27 14:51,HD2404270442,業務システム,情シス,中,係長,57,2024-04-27,あり,達成,なし,リモート,メール,その他,5
2024-01-11 17:34,HD2401110443,PCトラブル,マーケ,低,課長,30,2024-01-11,あり,達成,なし,リモート,電話,設定不備,4
2024-07-06 03:32,HD2407060444,プリンタ,情シス,低,課長,22,2024-07-06,あり,達成,なし,オンサイト,チケット,教育不足,4
2024-10-18 09:14,HD2410180445,VPN,マーケ,中,主任,50,2024-10-18,あり,達成,なし,電話,メール,脆弱性,5
2025-10-06 22:08,HD2510060446,PCトラブル,情シス,中,課長,46,2025-10-06,あり,達成,なし,オンサイト,チャット,その他,5
2026-01-17 07:16,HD2601170447,アカウント,製造,低,係長,25,2026-01-17,あり,達成,なし,リモート,チケット,仕様,5
2025-12-16 07:50,HD2512160448,SaaS利用,経理,低,係長,27,2025-12-16,あり,達成,なし,オンサイト,チケット,教育不足,5
2026-01-09 18:38,HD2601090449,VPN,経理,中,課長,68,2026-01-09,なし,達成,なし,オンサイト,電話,設定不備,3
2026-05-31 11:53,HD2605310450,ネットワーク,マーケ,中,課長,115,2026-05-31,なし,達成,なし,オンサイト,チャット,その他,3
2024-10-23 09:28,HD2410230451,ネットワーク,開発,低,主任,17,2024-10-23,あり,達成,あり,リモート,メール,外部要因,5
2024-10-31 18:21,HD2410310452,アカウント,開発,中,課長,40,2024-10-31,なし,達成,なし,リモート,電話,その他,4
2024-03-06 20:45,HD2403060453,PCトラブル,総務,中,係長,86,2024-03-06,あり,達成,なし,オンサイト,チケット,設定不備,5
2026-03-29 20:39,HD2603290454,アカウント,情シス,低,主任,21,2026-03-29,あり,達成,なし,電話,電話,脆弱性,4
2024-02-06 14:41,HD2402060455,ネットワーク,営業,中,主任,72,2024-02-06,あり,達成,なし,リモート,メール,設定不備,5
2025-04-10 19:44,HD2504100456,PCトラブル,マーケ,低,主任,31,2025-04-10,あり,達成,なし,リモート,チケット,仕様,5
2026-03-07 04:20,HD2603070457,業務システム,人事,低,係長,31,2026-03-07,あり,達成,なし,オンサイト,チャット,設定不備,5
2025-09-26 21:17,HD2509260458,その他,開発,低,主任,28,2025-09-26,あり,達成,なし,リモート,電話,教育不足,5
2024-05-18 18:56,HD2405180459,PCトラブル,マーケ,低,主任,25,2024-05-18,あり,達成,なし,リモート,チケット,設定不備,4
2025-10-05 06:10,HD2510050460,セキュリティ,製造,低,課長,40,2025-10-05,あり,達成,なし,リモート,チャット,教育不足,5
2024-04-03 14:05,HD2404030461,ネットワーク,製造,低,係長,21,2024-04-03,あり,達成,なし,リモート,電話,設定不備,5
2024-04-19 14:12,HD2404190462,PCトラブル,マーケ,低,課長,5,2024-04-19,あり,達成,なし,リモート,メール,仕様,5
2025-09-19 15:02,HD2509190463,PCトラブル,マーケ,中,主任,63,2025-09-19,あり,達成,なし,リモート,チケット,脆弱性,4
2024-09-21 15:01,HD2409210464,アカウント,経理,高,課長,106,2024-09-21,あり,達成,なし,リモート,チケット,設定不備,5
2025-08-28 20:58,HD2508280465,メール,人事,低,課長,17,2025-08-28,あり,達成,あり,リモート,チャット,その他,5
2024-10-05 07:02,HD2410050466,業務システム,経理,高,課長,168,2024-10-05,あり,未達,なし,リモート,電話,教育不足,3
2024-12-20 22:09,HD2412200467,その他,開発,低,課長,24,2024-12-20,あり,達成,なし,リモート,チャット,仕様,5
2024-04-30 02:29,HD2404300468,アカウント,総務,高,主任,163,2024-04-30,あり,未達,なし,リモート,チケット,教育不足,3
2024-05-31 19:49,HD2405310469,アカウント,経理,低,課長,33,2024-05-31,なし,達成,なし,リモート,チケット,教育不足,4
2025-02-15 03:56,HD2502150470,プリンタ,営業,低,係長,18,2025-02-15,あり,達成,なし,リモート,チケット,教育不足,5
2024-07-08 06:32,HD2407080471,アカウント,法務,緊急,課長,146,2024-07-08,あり,未達,なし,リモート,チケット,その他,2
2024-07-27 09:06,HD2407270472,PCトラブル,人事,低,係長,15,2024-07-27,あり,達成,なし,リモート,チャット,脆弱性,5
2024-03-13 09:39,HD2403130473,PCトラブル,製造,低,係長,42,2024-03-13,なし,達成,なし,リモート,チケット,ハード故障,3
2026-05-01 09:44,HD2605010474,メール,人事,中,係長,37,2026-05-01,あり,達成,なし,リモート,チケット,設定不備,5
2024-11-26 00:32,HD2411260475,VPN,人事,低,課長,18,2024-11-26,あり,達成,なし,オンサイト,メール,教育不足,5
2025-09-04 15:07,HD2509040476,SaaS利用,人事,中,主任,5,2025-09-04,あり,達成,あり,電話,チケット,ハード故障,5
2024-10-08 09:19,HD2410080477,ネットワーク,法務,低,課長,17,2024-10-08,あり,達成,なし,リモート,チケット,教育不足,4
2026-05-05 04:42,HD2605050478,プリンタ,マーケ,低,課長,32,2026-05-05,あり,達成,なし,オンサイト,メール,設定不備,5
2024-10-12 04:26,HD2410120479,SaaS利用,情シス,高,主任,150,2024-10-12,あり,達成,なし,リモート,チャット,ハード故障,5
2025-11-29 15:01,HD2511290480,アカウント,営業,低,課長,25,2025-11-29,あり,達成,なし,リモート,メール,仕様,5
2025-10-10 13:47,HD2510100481,アカウント,開発,中,主任,86,2025-10-10,あり,達成,あり,電話,チャット,教育不足,4
2026-05-24 01:38,HD2605240482,業務システム,法務,中,主任,77,2026-05-24,なし,達成,あり,リモート,チャット,その他,2
2025-03-24 21:31,HD2503240483,その他,経理,低,課長,24,2025-03-24,あり,達成,なし,リモート,チケット,設定不備,4
2025-04-01 06:31,HD2504010484,プリンタ,人事,中,主任,46,2025-04-01,あり,達成,なし,リモート,チャット,設定不備,4
2026-04-28 18:07,HD2604280485,メール,人事,中,係長,50,2026-04-28,あり,達成,なし,オンサイト,対面,外部要因,5
2026-05-11 08:31,HD2605110486,業務システム,情シス,高,係長,233,2026-05-11,あり,未達,なし,オンサイト,チケット,仕様,2
2024-02-24 04:56,HD2402240487,PCトラブル,情シス,中,係長,36,2024-02-24,あり,達成,なし,リモート,チケット,設定不備,5
2024-08-09 04:57,HD2408090488,PCトラブル,法務,低,係長,34,2024-08-09,あり,達成,なし,リモート,チケット,設定不備,5
2024-04-19 15:10,HD2404190489,業務システム,マーケ,中,主任,98,2024-04-19,あり,達成,なし,リモート,チャット,仕様,4
2024-10-17 21:36,HD2410170490,アカウント,製造,低,係長,18,2024-10-17,あり,達成,なし,リモート,電話,教育不足,5
2025-10-30 20:29,HD2510300491,アカウント,開発,高,係長,97,2025-10-30,なし,達成,なし,リモート,電話,教育不足,4
2025-04-27 01:04,HD2504270492,PCトラブル,総務,低,課長,21,2025-04-27,あり,達成,なし,リモート,チケット,外部要因,5
2026-02-23 04:40,HD2602230493,アカウント,開発,中,主任,46,2026-02-23,あり,達成,なし,電話,チケット,仕様,5
2025-07-15 15:42,HD2507150494,ネットワーク,法務,低,課長,12,2025-07-15,あり,達成,なし,リモート,チケット,教育不足,4
2025-06-20 23:07,HD2506200495,PCトラブル,製造,低,主任,11,2025-06-20,あり,達成,なし,オンサイト,チケット,設定不備,5
2025-11-25 01:24,HD2511250496,ネットワーク,人事,中,係長,49,2025-11-25,あり,達成,なし,リモート,チャット,仕様,5
2025-01-16 20:54,HD2501160497,PCトラブル,法務,低,主任,26,2025-01-16,あり,達成,なし,リモート,チケット,教育不足,5
2024-02-18 14:57,HD2402180498,ネットワーク,マーケ,中,主任,88,2024-02-18,あり,達成,なし,オンサイト,チケット,設定不備,5
2026-04-08 21:55,HD2604080499,業務システム,営業,低,主任,29,2026-04-08,あり,達成,なし,電話,チャット,外部要因,4
2024-06-13 09:23,HD2406130500,PCトラブル,開発,低,主任,26,2024-06-13,あり,達成,なし,リモート,チャット,仕様,5
2026-04-08 06:57,HD2604080501,PCトラブル,経理,中,主任,56,2026-04-08,あり,達成,あり,リモート,チャット,設定不備,5
2025-05-29 22:40,HD2505290502,プリンタ,営業,中,係長,60,2025-05-29,あり,達成,あり,電話,チャット,その他,5
2026-05-12 13:21,HD2605120503,業務システム,情シス,低,主任,36,2026-05-12,あり,達成,なし,リモート,対面,設定不備,5
2025-12-23 12:50,HD2512230504,ネットワーク,マーケ,低,係長,27,2025-12-23,あり,達成,なし,電話,メール,外部要因,4
2024-09-28 10:18,HD2409280505,その他,情シス,低,課長,30,2024-09-28,あり,達成,なし,リモート,チケット,教育不足,5
2025-07-13 00:28,HD2507130506,PCトラブル,人事,高,係長,56,2025-07-13,あり,達成,なし,リモート,チケット,脆弱性,5
2024-03-16 12:02,HD2403160507,アカウント,製造,中,係長,61,2024-03-16,あり,達成,なし,リモート,メール,教育不足,4
2025-03-22 11:35,HD2503220508,セキュリティ,法務,低,課長,39,2025-03-22,あり,達成,なし,オンサイト,メール,ハード故障,5
2024-07-13 04:35,HD2407130509,アカウント,製造,中,主任,30,2024-07-13,あり,達成,なし,リモート,チケット,設定不備,5
2024-04-14 14:31,HD2404140510,SaaS利用,情シス,高,主任,80,2024-04-14,あり,達成,なし,オンサイト,メール,ハード故障,5
2024-07-05 16:16,HD2407050511,ネットワーク,マーケ,中,課長,49,2024-07-05,なし,達成,なし,オンサイト,チケット,設定不備,4
2025-12-10 00:29,HD2512100512,PCトラブル,営業,低,主任,18,2025-12-10,あり,達成,なし,電話,メール,脆弱性,4
2025-07-27 02:50,HD2507270513,業務システム,人事,高,主任,216,2025-07-27,あり,未達,なし,オンサイト,チャット,その他,3
2024-04-07 12:11,HD2404070514,業務システム,経理,低,課長,39,2024-04-07,あり,達成,なし,リモート,チケット,教育不足,5
2026-03-07 13:13,HD2603070515,SaaS利用,開発,低,課長,11,2026-03-07,あり,達成,なし,オンサイト,チケット,脆弱性,5
2024-03-10 17:36,HD2403100516,SaaS利用,情シス,低,係長,37,2024-03-10,なし,達成,なし,電話,チケット,仕様,3
2024-07-14 21:52,HD2407140517,アカウント,総務,高,課長,45,2024-07-14,あり,達成,なし,オンサイト,チャット,仕様,5
2025-06-21 16:40,HD2506210518,ネットワーク,経理,低,課長,13,2025-06-21,なし,達成,なし,オンサイト,チケット,設定不備,5
2025-11-03 19:19,HD2511030519,アカウント,人事,低,課長,14,2025-11-03,なし,達成,なし,電話,電話,設定不備,5
2024-08-10 05:33,HD2408100520,PCトラブル,営業,低,係長,48,2024-08-10,なし,達成,あり,オンサイト,チャット,教育不足,3
2025-09-17 17:25,HD2509170521,業務システム,情シス,中,主任,49,2025-09-17,あり,達成,なし,リモート,チケット,外部要因,5
2025-05-24 21:27,HD2505240522,その他,経理,低,課長,14,2025-05-24,あり,達成,なし,リモート,チケット,設定不備,4
2025-12-25 08:12,HD2512250523,VPN,法務,低,係長,17,2025-12-25,あり,達成,なし,電話,チャット,仕様,5
2026-04-29 22:14,HD2604290524,アカウント,開発,中,課長,53,2026-04-29,あり,達成,なし,リモート,チャット,教育不足,4
2024-08-26 19:21,HD2408260525,業務システム,営業,緊急,主任,296,2024-08-27,あり,未達,なし,リモート,チャット,設定不備,2
2026-05-18 19:36,HD2605180526,プリンタ,営業,低,係長,17,2026-05-18,あり,達成,なし,電話,チケット,設定不備,5
2024-09-30 12:06,HD2409300527,VPN,営業,低,主任,16,2024-09-30,あり,達成,なし,電話,チャット,設定不備,4
2024-01-04 05:43,HD2401040528,その他,開発,中,課長,40,2024-01-04,あり,達成,なし,リモート,チケット,その他,5
2024-11-28 04:24,HD2411280529,アカウント,マーケ,緊急,課長,278,2024-11-28,あり,未達,なし,リモート,メール,外部要因,3
2025-12-15 06:17,HD2512150530,業務システム,マーケ,中,主任,150,2025-12-15,あり,達成,なし,オンサイト,対面,設定不備,5
2024-04-23 09:25,HD2404230531,業務システム,マーケ,低,係長,41,2024-04-23,あり,達成,なし,電話,チャット,教育不足,5
2025-04-12 12:28,HD2504120532,その他,マーケ,低,課長,27,2025-04-12,あり,達成,なし,リモート,チケット,教育不足,5
2025-05-17 19:25,HD2505170533,プリンタ,マーケ,中,課長,67,2025-05-17,なし,達成,なし,電話,チャット,仕様,3
2025-11-13 23:11,HD2511130534,セキュリティ,営業,中,課長,86,2025-11-14,あり,達成,なし,オンサイト,チャット,仕様,5
2025-09-13 12:09,HD2509130535,SaaS利用,開発,中,主任,48,2025-09-13,あり,達成,なし,リモート,電話,設定不備,5
2024-12-12 21:48,HD2412120536,業務システム,人事,中,係長,102,2024-12-12,なし,達成,なし,電話,チャット,仕様,3
2024-05-11 12:06,HD2405110537,アカウント,人事,低,係長,12,2024-05-11,あり,達成,なし,リモート,チケット,外部要因,5
2025-03-26 17:07,HD2503260538,ネットワーク,経理,低,係長,13,2025-03-26,あり,達成,なし,リモート,チケット,設定不備,5
2024-12-13 11:25,HD2412130539,アカウント,営業,中,主任,58,2024-12-13,あり,達成,なし,リモート,チケット,設定不備,5
2026-05-10 01:57,HD2605100540,ネットワーク,マーケ,低,課長,21,2026-05-10,あり,達成,なし,リモート,チャット,設定不備,5
2025-01-13 04:58,HD2501130541,VPN,経理,高,課長,195,2025-01-13,あり,未達,なし,リモート,チケット,教育不足,2
2024-09-24 02:37,HD2409240542,アカウント,営業,中,課長,6,2024-09-24,あり,達成,なし,リモート,チャット,教育不足,5
2025-12-02 15:37,HD2512020543,セキュリティ,法務,低,主任,44,2025-12-02,あり,達成,なし,リモート,チャット,設定不備,5
2024-01-03 17:23,HD2401030544,ネットワーク,法務,中,係長,57,2024-01-03,あり,達成,なし,電話,メール,ハード故障,5
2025-12-08 14:35,HD2512080545,ネットワーク,情シス,高,主任,131,2025-12-08,あり,達成,あり,オンサイト,メール,ハード故障,4
2024-05-23 01:45,HD2405230546,その他,総務,低,係長,23,2024-05-23,あり,達成,なし,リモート,電話,教育不足,5
2024-02-03 04:17,HD2402030547,PCトラブル,人事,中,主任,55,2024-02-03,あり,達成,なし,リモート,チケット,ハード故障,5
2026-04-21 01:45,HD2604210548,アカウント,法務,中,課長,70,2026-04-21,あり,達成,なし,オンサイト,チケット,教育不足,4
2024-02-17 19:32,HD2402170549,ネットワーク,法務,低,係長,25,2024-02-17,あり,達成,あり,リモート,チャット,設定不備,4
2024-06-25 10:58,HD2406250550,セキュリティ,営業,中,課長,81,2024-06-25,あり,達成,なし,オンサイト,チャット,設定不備,5
2025-06-28 05:38,HD2506280551,プリンタ,営業,中,課長,61,2025-06-28,あり,達成,あり,リモート,対面,設定不備,4
2025-12-17 10:25,HD2512170552,アカウント,開発,中,係長,73,2025-12-17,なし,達成,なし,オンサイト,メール,ハード故障,4
2025-09-17 03:07,HD2509170553,VPN,経理,中,主任,48,2025-09-17,あり,達成,なし,リモート,チャット,ハード故障,4
2025-09-18 14:32,HD2509180554,アカウント,開発,中,課長,51,2025-09-18,あり,達成,なし,リモート,チケット,脆弱性,5
2024-08-27 21:44,HD2408270555,PCトラブル,マーケ,中,課長,65,2024-08-27,あり,達成,なし,リモート,チケット,教育不足,4
2025-04-18 09:07,HD2504180556,セキュリティ,人事,低,主任,29,2025-04-18,あり,達成,なし,オンサイト,チケット,教育不足,4
2025-05-31 23:10,HD2505310557,アカウント,マーケ,中,係長,66,2025-06-01,あり,達成,なし,オンサイト,メール,設定不備,4
2024-01-04 13:29,HD2401040558,VPN,マーケ,中,主任,50,2024-01-04,あり,達成,なし,オンサイト,チャット,設定不備,5
2024-08-27 15:40,HD2408270559,業務システム,情シス,低,主任,8,2024-08-27,あり,達成,なし,リモート,チケット,外部要因,5
2025-09-11 15:31,HD2509110560,PCトラブル,営業,低,課長,19,2025-09-11,あり,達成,なし,オンサイト,チケット,設定不備,5
2026-04-24 05:27,HD2604240561,アカウント,人事,低,係長,19,2026-04-24,あり,達成,なし,オンサイト,電話,仕様,5
2024-01-08 16:23,HD2401080562,SaaS利用,開発,高,主任,111,2024-01-08,なし,達成,なし,電話,チャット,ハード故障,4
2024-12-25 01:07,HD2412250563,セキュリティ,情シス,高,主任,227,2024-12-25,あり,未達,なし,電話,チケット,設定不備,2
2024-05-13 22:19,HD2405130564,ネットワーク,製造,低,主任,36,2024-05-13,なし,達成,なし,リモート,対面,脆弱性,4
2024-12-08 15:20,HD2412080565,業務システム,総務,高,課長,49,2024-12-08,あり,達成,なし,リモート,メール,仕様,4
2026-05-11 11:25,HD2605110566,SaaS利用,マーケ,低,係長,23,2026-05-11,あり,達成,なし,リモート,チケット,仕様,4
2024-07-24 04:00,HD2407240567,メール,総務,中,課長,11,2024-07-24,あり,達成,なし,リモート,チャット,外部要因,4
2026-03-08 06:57,HD2603080568,アカウント,営業,高,係長,97,2026-03-08,あり,達成,なし,オンサイト,チケット,その他,5
2025-05-22 21:55,HD2505220569,プリンタ,マーケ,低,課長,22,2025-05-22,あり,達成,なし,リモート,メール,ハード故障,5
2024-01-05 05:11,HD2401050570,SaaS利用,製造,低,課長,31,2024-01-05,あり,達成,なし,電話,メール,仕様,5
2024-05-30 12:25,HD2405300571,メール,情シス,中,課長,57,2024-05-30,なし,達成,なし,リモート,メール,教育不足,5
2025-03-14 04:16,HD2503140572,SaaS利用,開発,中,主任,48,2025-03-14,あり,達成,なし,オンサイト,チケット,設定不備,4
2026-03-23 21:31,HD2603230573,メール,開発,中,課長,78,2026-03-23,あり,達成,なし,オンサイト,チケット,仕様,4
2024-01-30 17:26,HD2401300574,VPN,法務,緊急,係長,208,2024-01-30,あり,未達,なし,オンサイト,メール,外部要因,1
2026-04-20 22:07,HD2604200575,ネットワーク,人事,中,係長,98,2026-04-20,あり,達成,なし,リモート,チケット,設定不備,5
2024-06-16 22:08,HD2406160576,メール,製造,低,係長,28,2024-06-16,なし,達成,なし,リモート,チャット,外部要因,4
2024-11-10 22:00,HD2411100577,ネットワーク,マーケ,低,係長,21,2024-11-10,あり,達成,なし,リモート,チケット,ハード故障,5
2025-01-16 21:27,HD2501160578,PCトラブル,開発,低,課長,28,2025-01-16,あり,達成,なし,リモート,チケット,仕様,5
2024-07-23 19:45,HD2407230579,メール,製造,中,係長,99,2024-07-23,あり,達成,なし,オンサイト,チケット,設定不備,5
2024-05-27 04:40,HD2405270580,セキュリティ,情シス,中,課長,8,2024-05-27,あり,達成,なし,オンサイト,チャット,仕様,5
2025-02-04 11:19,HD2502040581,PCトラブル,製造,低,課長,28,2025-02-04,あり,達成,なし,リモート,チケット,設定不備,5
2026-03-15 12:05,HD2603150582,ネットワーク,情シス,中,係長,65,2026-03-15,あり,達成,なし,リモート,チャット,脆弱性,5
2024-03-15 17:57,HD2403150583,PCトラブル,営業,低,係長,9,2024-03-15,あり,達成,なし,リモート,チャット,教育不足,5
2026-04-22 19:58,HD2604220584,セキュリティ,営業,中,係長,118,2026-04-22,あり,達成,なし,リモート,チケット,設定不備,5
2024-11-17 09:49,HD2411170585,メール,総務,低,係長,5,2024-11-17,なし,達成,なし,リモート,メール,ハード故障,4
2024-12-19 04:19,HD2412190586,セキュリティ,総務,低,係長,38,2024-12-19,あり,達成,なし,オンサイト,チャット,ハード故障,4
2025-02-19 19:41,HD2502190587,ネットワーク,経理,中,課長,59,2025-02-19,あり,達成,なし,リモート,チャット,教育不足,5
2025-07-30 13:55,HD2507300588,PCトラブル,営業,中,主任,98,2025-07-30,なし,達成,なし,リモート,電話,外部要因,3
2025-01-02 15:07,HD2501020589,SaaS利用,マーケ,低,課長,34,2025-01-02,あり,達成,なし,リモート,対面,設定不備,4
2024-06-15 23:05,HD2406150590,PCトラブル,開発,低,主任,20,2024-06-15,あり,達成,なし,電話,チャット,設定不備,4
2025-11-27 12:09,HD2511270591,プリンタ,法務,低,主任,21,2025-11-27,なし,達成,なし,リモート,対面,設定不備,4
2024-01-22 16:03,HD2401220592,PCトラブル,人事,高,主任,115,2024-01-22,あり,達成,なし,オンサイト,チャット,設定不備,5
2024-12-03 20:28,HD2412030593,セキュリティ,総務,低,係長,18,2024-12-03,なし,達成,なし,オンサイト,チケット,その他,5
2024-05-11 16:26,HD2405110594,PCトラブル,経理,低,係長,22,2024-05-11,あり,達成,あり,リモート,対面,設定不備,5
2025-12-31 12:12,HD2512310595,SaaS利用,営業,中,係長,54,2025-12-31,あり,達成,なし,電話,対面,設定不備,5
2024-03-02 17:57,HD2403020596,メール,法務,低,係長,14,2024-03-02,なし,達成,なし,リモート,チャット,教育不足,5
2025-04-17 14:56,HD2504170597,プリンタ,開発,中,課長,21,2025-04-17,あり,達成,なし,リモート,チケット,その他,5
2026-02-12 16:53,HD2602120598,業務システム,情シス,低,主任,26,2026-02-12,あり,達成,なし,リモート,チケット,設定不備,5
2025-11-30 07:37,HD2511300599,アカウント,製造,高,主任,34,2025-11-30,あり,達成,なし,リモート,電話,教育不足,4
2025-05-31 05:03,HD2505310600,プリンタ,営業,低,課長,27,2025-05-31,なし,達成,あり,リモート,電話,ハード故障,1
2026-03-24 19:07,HD2603240601,PCトラブル,営業,中,係長,43,2026-03-24,あり,達成,なし,リモート,電話,ハード故障,5
2025-08-01 23:12,HD2508010602,SaaS利用,総務,高,主任,131,2025-08-02,なし,達成,なし,オンサイト,チャット,設定不備,4
2025-08-19 08:59,HD2508190603,プリンタ,マーケ,高,係長,66,2025-08-19,あり,達成,なし,リモート,メール,設定不備,5
2024-06-08 07:59,HD2406080604,アカウント,製造,中,主任,31,2024-06-08,あり,達成,あり,電話,チケット,設定不備,5
2026-03-29 19:06,HD2603290605,PCトラブル,人事,低,係長,29,2026-03-29,あり,達成,なし,リモート,対面,教育不足,5
2025-02-15 04:33,HD2502150606,PCトラブル,人事,低,課長,45,2025-02-15,あり,達成,なし,リモート,チケット,仕様,5
2025-01-29 18:31,HD2501290607,プリンタ,法務,低,課長,10,2025-01-29,なし,達成,なし,オンサイト,チャット,設定不備,4
2024-02-07 07:41,HD2402070608,ネットワーク,経理,低,係長,47,2024-02-07,なし,達成,なし,オンサイト,チャット,ハード故障,3
2025-02-07 15:57,HD2502070609,PCトラブル,経理,中,係長,30,2025-02-07,あり,達成,なし,リモート,チケット,教育不足,5
2025-11-03 18:40,HD2511030610,ネットワーク,情シス,低,係長,30,2025-11-03,あり,達成,なし,リモート,チケット,教育不足,4
2024-03-29 11:23,HD2403290611,アカウント,マーケ,低,係長,36,2024-03-29,あり,達成,なし,リモート,チケット,外部要因,4
2025-04-22 21:42,HD2504220612,アカウント,製造,中,課長,43,2025-04-22,なし,達成,なし,電話,チャット,外部要因,4
2025-08-18 15:06,HD2508180613,PCトラブル,開発,中,係長,5,2025-08-18,あり,達成,なし,電話,チケット,教育不足,5
2026-05-02 04:22,HD2605020614,プリンタ,営業,低,係長,33,2026-05-02,なし,達成,なし,リモート,チャット,設定不備,5
2024-01-12 09:08,HD2401120615,アカウント,営業,低,課長,31,2024-01-12,なし,達成,なし,オンサイト,チケット,仕様,4
2025-02-13 03:42,HD2502130616,ネットワーク,法務,低,係長,10,2025-02-13,あり,達成,あり,リモート,対面,教育不足,5
2024-11-26 20:58,HD2411260617,PCトラブル,総務,緊急,課長,255,2024-11-27,あり,未達,なし,オンサイト,メール,その他,2
2024-07-21 10:31,HD2407210618,PCトラブル,経理,中,係長,67,2024-07-21,あり,達成,なし,リモート,チケット,教育不足,4
2024-03-09 08:14,HD2403090619,アカウント,営業,中,主任,73,2024-03-09,あり,達成,なし,リモート,チケット,外部要因,4
