訪問日,訪問ID,顧客名,業種,契約プラン,設備型式,対応区分,所要時間分,部品費,作業費,総費用,SLA達成,一次解決,再訪問,担当エンジニア,訪問距離km,リモート判定,対応難易度,顧客満足度,受付チャネル
2024-08-06,V000349,株式会社ミライテック,IT,ベーシック,PX-80,緊急修理,197,30419,34777,65196,達成,解決,なし,E004,115.6,不可,中,4.2,電話
2024-08-06,V000350,みどり市役所,公共,プレミアム,MX-300,定期点検,38,0,5879,5879,達成,解決,なし,E014,166.2,不可,低,4.2,メール
2024-08-07,V000351,東和建設,建設,ベーシック,PX-80,定期点検,142,0,18250,18250,達成,解決,なし,E007,80.4,不可,低,4.5,現地
2024-08-07,V000352,株式会社ミライテック,IT,ベーシック,MX-200,緊急修理,136,59878,21770,81648,達成,解決,なし,E019,20.4,不可,低,3.8,メール
2024-08-08,V000353,花鳥風月,観光,プレミアム,RX-500,緊急修理,186,21871,29574,51445,達成,解決,なし,E017,163.0,不可,中,4.1,アプリ
2024-08-09,V000354,株式会社ネクストブリッジ,IT,スタンダード,MX-200,予防保全,83,17886,12425,30311,達成,解決,なし,E022,168.4,不可,低,3.2,メール
2024-08-10,V000355,株式会社ミライテック,IT,ベーシック,MX-200,部品交換,70,28623,8565,37188,達成,未解決,あり,E007,9.0,不可,低,4.2,メール
2024-08-11,V000356,東北ロジスティクス,物流,ベーシック,AX-1000,ソフトウェア更新,59,0,7287,7287,達成,解決,なし,E003,130.1,可,低,3.7,現地
2024-08-11,V000357,日本橋製薬,製薬,スタンダード,RX-500,定期点検,91,0,10762,10762,達成,解決,なし,E015,145.7,不可,中,3.9,現地
2024-08-12,V000358,大和精機製作所,製造業,スタンダード,MX-200,定期点検,138,0,21153,21153,達成,解決,なし,E001,45.2,不可,中,4.1,Web
2024-08-12,V000359,日本橋製薬,製薬,スポット,MX-200,ソフトウェア更新,63,0,9553,9553,達成,未解決,あり,E011,111.6,可,低,3.8,アプリ
2024-08-12,V000360,東和建設,建設,スポット,MX-300,部品交換,97,17826,12529,30355,未達,未解決,なし,E012,136.8,不可,低,3.0,現地
2024-08-12,V000361,大和精機製作所,製造業,スタンダード,MX-100,緊急修理,151,65827,17463,83290,達成,未解決,なし,E023,3.3,不可,高,3.9,現地
2024-08-13,V000362,みどり市役所,公共,スタンダード,RX-500,再訪問対応,125,33359,21958,55317,達成,解決,なし,E006,110.7,不可,低,4.5,アプリ
2024-08-13,V000363,日本橋製薬,製薬,プレミアム,PX-80,部品交換,151,14541,23151,37692,達成,解決,なし,E017,155.6,不可,高,5.0,Web
2024-08-13,V000364,株式会社ネクストブリッジ,IT,ベーシック,PX-50,部品交換,154,64182,22303,86485,達成,解決,なし,E002,30.4,不可,高,4.8,メール
2024-08-14,V000365,東和建設,建設,スタンダード,AX-1000,予防保全,96,25053,11622,36675,達成,未解決,あり,E003,7.2,不可,中,2.9,Web
2024-08-15,V000366,東北ロジスティクス,物流,スタンダード,AX-1000,ソフトウェア更新,48,0,6375,6375,達成,解決,なし,E013,19.5,不可,高,4.8,Web
2024-08-16,V000367,東洋精機,製造業,スタンダード,MX-100,ソフトウェア更新,53,0,8500,8500,達成,未解決,あり,E005,114.5,不可,低,4.2,電話
2024-08-16,V000368,東北ロジスティクス,物流,プレミアム,MX-300,定期点検,99,0,17032,17032,達成,解決,なし,E021,109.4,不可,中,4.4,現地
2024-08-17,V000369,みどり市役所,公共,スタンダード,PX-50,定期点検,100,0,14314,14314,達成,解決,なし,E014,84.4,不可,低,3.7,Web
2024-08-18,V000370,東京湾岸エナジー,電力,スタンダード,PX-50,予防保全,93,63689,15004,78693,未達,未解決,なし,E013,91.8,不可,低,3.3,アプリ
2024-08-18,V000371,花鳥風月,観光,ベーシック,MX-200,ソフトウェア更新,60,0,8307,8307,達成,解決,なし,E003,40.8,可,低,3.2,電話
2024-08-18,V000372,株式会社ネクストブリッジ,IT,スタンダード,RX-500,予防保全,58,55131,7130,62261,達成,解決,なし,E023,157.1,不可,中,4.2,電話
2024-08-18,V000373,みどり市役所,公共,プレミアム,AX-1000,予防保全,92,73098,13824,86922,達成,解決,なし,E020,38.9,不可,中,5.0,メール
2024-08-19,V000374,東北ロジスティクス,物流,プレミアム,AX-1000,定期点検,74,0,9047,9047,達成,解決,なし,E023,101.5,不可,低,3.7,Web
2024-08-20,V000375,大和精機製作所,製造業,スタンダード,MX-200,再訪問対応,151,31548,19997,51545,達成,未解決,あり,E014,161.8,不可,中,3.9,メール
2024-08-20,V000376,東洋精機,製造業,スタンダード,RX-500,ソフトウェア更新,32,0,5534,5534,達成,未解決,あり,E023,82.5,可,中,3.8,電話
2024-08-21,V000377,東京湾岸エナジー,電力,ベーシック,MX-200,定期点検,98,0,11910,11910,達成,解決,なし,E005,21.9,不可,低,3.9,Web
2024-08-21,V000378,東都フィナンシャル証券,金融,ベーシック,PX-80,ソフトウェア更新,69,0,9733,9733,未達,解決,なし,E008,116.8,可,低,3.5,現地
2024-08-22,V000379,日本橋製薬,製薬,スタンダード,AX-1000,再訪問対応,88,73888,12422,86310,達成,解決,なし,E010,56.1,不可,低,3.6,Web
2024-08-22,V000380,花鳥風月,観光,スタンダード,AX-1000,部品交換,100,23805,15330,39135,達成,解決,なし,E006,30.6,不可,中,4.4,Web
2024-08-22,V000381,みどり市役所,公共,ベーシック,MX-300,緊急修理,142,36132,19294,55426,達成,解決,なし,E022,38.5,不可,中,4.2,メール
2024-08-23,V000382,暮らしの匠,小売,プレミアム,RX-500,予防保全,104,67459,17034,84493,未達,解決,なし,E005,170.7,不可,高,3.3,電話
2024-08-24,V000383,暮らしの匠,小売,スタンダード,AX-1000,再訪問対応,110,77199,17235,94434,達成,解決,なし,E015,144.3,不可,中,5.0,メール
2024-08-24,V000384,東北ロジスティクス,物流,ベーシック,MX-100,緊急修理,201,30883,28384,59267,達成,解決,なし,E021,18.5,不可,低,4.1,Web
2024-08-25,V000385,日本橋製薬,製薬,スタンダード,PX-80,緊急修理,97,13452,17295,30747,達成,解決,なし,E020,72.2,不可,低,4.3,現地
2024-08-26,V000386,東都フィナンシャル証券,金融,プレミアム,AX-1000,ソフトウェア更新,51,0,6864,6864,達成,未解決,あり,E024,176.0,不可,低,4.3,アプリ
2024-08-26,V000387,東北ロジスティクス,物流,スタンダード,RX-500,部品交換,158,56289,18923,75212,達成,解決,なし,E007,106.5,不可,低,3.5,メール
2024-08-27,V000388,株式会社ネクストブリッジ,IT,ベーシック,AX-1000,定期点検,88,0,13615,13615,未達,解決,なし,E015,50.7,不可,低,3.2,現地
2024-08-27,V000389,花鳥風月,観光,プレミアム,MX-300,ソフトウェア更新,65,0,9812,9812,達成,解決,なし,E001,89.9,不可,低,3.6,Web
2024-08-28,V000390,東和建設,建設,スポット,RX-500,定期点検,55,0,6992,6992,達成,未解決,あり,E003,23.2,不可,低,4.0,現地
2024-08-28,V000391,東北ロジスティクス,物流,スタンダード,AX-2000,部品交換,114,69177,18388,87565,達成,解決,なし,E019,5.1,不可,低,3.8,電話
2024-08-28,V000392,大和精機製作所,製造業,スタンダード,MX-300,部品交換,62,48659,7031,55690,達成,解決,なし,E003,53.9,不可,中,4.5,現地
2024-08-28,V000393,東京湾岸エナジー,電力,ベーシック,MX-200,予防保全,132,41462,17028,58490,達成,解決,なし,E018,126.2,不可,低,3.3,現地
2024-08-30,V000394,株式会社ミライテック,IT,プレミアム,MX-300,予防保全,52,23368,6092,29460,達成,解決,なし,E007,29.5,不可,低,4.6,現地
2024-08-30,V000395,日本橋製薬,製薬,ベーシック,MX-200,ソフトウェア更新,74,0,10623,10623,達成,解決,なし,E020,57.5,可,中,3.0,現地
2024-08-31,V000396,花鳥風月,観光,スタンダード,PX-80,定期点検,113,0,17872,17872,達成,解決,なし,E003,56.7,不可,低,4.6,アプリ
2024-09-01,V000397,東北ロジスティクス,物流,ベーシック,MX-200,定期点検,121,0,17659,17659,達成,未解決,あり,E009,12.5,不可,低,4.6,電話
2024-09-01,V000398,東洋精機,製造業,ベーシック,MX-200,定期点検,101,0,13595,13595,未達,解決,なし,E009,18.2,不可,中,3.0,現地
2024-09-01,V000399,株式会社ミライテック,IT,プレミアム,PX-50,予防保全,96,30442,15370,45812,達成,解決,なし,E025,173.6,不可,低,4.0,現地
2024-09-01,V000400,東洋精機,製造業,ベーシック,PX-50,予防保全,94,16067,11529,27596,未達,解決,なし,E007,65.2,不可,低,2.9,現地
2024-09-02,V000401,東京湾岸エナジー,電力,プレミアム,AX-1000,定期点検,68,0,8852,8852,達成,解決,なし,E016,130.5,不可,低,4.0,電話
2024-09-02,V000402,株式会社ミライテック,IT,スタンダード,PX-80,再訪問対応,104,58093,12814,70907,未達,解決,なし,E016,14.4,不可,中,3.1,メール
2024-09-02,V000403,東京湾岸エナジー,電力,スポット,RX-500,再訪問対応,122,20791,16791,37582,達成,解決,なし,E024,125.7,不可,高,3.8,Web
2024-09-03,V000404,東洋精機,製造業,スポット,AX-1000,緊急修理,181,38505,29600,68105,達成,未解決,あり,E025,138.3,不可,中,3.3,アプリ
2024-09-03,V000405,株式会社ミライテック,IT,ベーシック,AX-2000,ソフトウェア更新,52,0,7501,7501,達成,解決,なし,E024,43.1,不可,低,4.1,電話
2024-09-04,V000406,花鳥風月,観光,スタンダード,MX-100,緊急修理,180,14626,29378,44004,達成,解決,なし,E016,119.7,不可,中,4.6,アプリ
2024-09-05,V000407,東京湾岸エナジー,電力,ベーシック,RX-500,予防保全,119,6141,21342,27483,達成,解決,なし,E015,158.7,不可,低,3.5,メール
2024-09-05,V000408,みどり市役所,公共,スタンダード,MX-100,定期点検,98,0,11906,11906,達成,解決,なし,E013,78.7,不可,低,3.0,アプリ
2024-09-06,V000409,花鳥風月,観光,スタンダード,RX-500,再訪問対応,88,22487,12801,35288,達成,解決,なし,E013,71.7,不可,低,4.1,現地
2024-09-06,V000410,東北ロジスティクス,物流,ベーシック,PX-80,部品交換,139,78541,15551,94092,達成,解決,なし,E004,160.7,不可,低,4.3,アプリ
2024-09-06,V000411,株式会社ミライテック,IT,スタンダード,AX-1000,定期点検,71,0,12334,12334,達成,解決,なし,E011,13.7,不可,低,3.5,Web
2024-09-06,V000412,東洋精機,製造業,スタンダード,RX-500,再訪問対応,150,63564,22673,86237,達成,解決,なし,E013,177.5,不可,低,3.8,メール
2024-09-07,V000413,東都フィナンシャル証券,金融,ベーシック,MX-200,再訪問対応,74,46504,9003,55507,達成,解決,なし,E007,55.3,不可,高,4.0,アプリ
2024-09-07,V000414,日本橋製薬,製薬,スポット,MX-200,予防保全,90,31607,13834,45441,達成,解決,なし,E019,172.5,不可,中,4.6,電話
2024-09-07,V000415,日本橋製薬,製薬,スタンダード,RX-500,ソフトウェア更新,51,0,7155,7155,達成,未解決,なし,E020,98.1,可,低,4.9,現地
2024-09-07,V000416,株式会社ネクストブリッジ,IT,ベーシック,MX-300,定期点検,100,0,15625,15625,達成,解決,なし,E009,148.7,不可,高,4.5,現地
2024-09-07,V000417,花鳥風月,観光,ベーシック,AX-2000,予防保全,108,33506,13017,46523,達成,解決,なし,E014,124.0,不可,低,4.5,アプリ
2024-09-08,V000418,東和建設,建設,ベーシック,MX-200,再訪問対応,150,35612,23711,59323,達成,解決,なし,E005,44.0,不可,低,3.4,Web
2024-09-09,V000419,東洋精機,製造業,ベーシック,PX-80,ソフトウェア更新,68,0,8778,8778,達成,未解決,あり,E018,7.2,不可,低,3.8,Web
2024-09-09,V000420,日本橋製薬,製薬,プレミアム,RX-500,定期点検,87,0,15386,15386,達成,未解決,あり,E003,161.6,不可,中,4.2,アプリ
2024-09-10,V000421,暮らしの匠,小売,ベーシック,MX-300,緊急修理,80,70846,10210,81056,達成,未解決,なし,E004,159.5,不可,低,3.9,メール
2024-09-10,V000422,東和建設,建設,スタンダード,AX-2000,再訪問対応,147,37985,20692,58677,達成,未解決,あり,E016,47.3,不可,中,4.2,現地
2024-09-10,V000423,株式会社ミライテック,IT,スポット,AX-1000,予防保全,142,49578,20343,69921,達成,未解決,なし,E021,67.5,不可,低,3.2,現地
2024-09-11,V000424,東洋精機,製造業,ベーシック,MX-100,再訪問対応,95,49560,16455,66015,未達,未解決,あり,E008,124.0,不可,中,3.7,アプリ
2024-09-11,V000425,株式会社ミライテック,IT,スポット,AX-2000,部品交換,102,23001,17759,40760,達成,未解決,なし,E025,114.4,不可,高,4.9,アプリ
2024-09-11,V000426,花鳥風月,観光,スタンダード,MX-200,ソフトウェア更新,72,0,12338,12338,達成,解決,なし,E017,148.0,不可,中,3.3,電話
2024-09-12,V000427,株式会社ミライテック,IT,ベーシック,AX-1000,ソフトウェア更新,66,0,10221,10221,達成,未解決,なし,E019,2.5,可,低,4.5,電話
2024-09-12,V000428,大和精機製作所,製造業,スタンダード,MX-300,予防保全,59,36167,7206,43373,達成,未解決,あり,E010,107.6,不可,低,4.1,Web
2024-09-12,V000429,大和精機製作所,製造業,スタンダード,AX-2000,ソフトウェア更新,92,0,14287,14287,未達,未解決,あり,E007,113.5,不可,高,2.8,メール
2024-09-13,V000430,東北ロジスティクス,物流,プレミアム,AX-2000,予防保全,120,76349,14185,90534,達成,解決,なし,E015,129.9,不可,低,4.3,アプリ
2024-09-14,V000431,大和精機製作所,製造業,ベーシック,PX-50,部品交換,160,30254,28746,59000,達成,解決,なし,E014,52.4,不可,中,4.7,Web
2024-09-14,V000432,株式会社ミライテック,IT,プレミアム,PX-80,部品交換,120,62052,13920,75972,達成,解決,なし,E023,85.5,不可,高,4.7,アプリ
2024-09-14,V000433,東北ロジスティクス,物流,ベーシック,AX-2000,再訪問対応,120,32781,17155,49936,達成,解決,なし,E022,65.1,不可,中,3.9,現地
2024-09-15,V000434,東北ロジスティクス,物流,ベーシック,MX-100,部品交換,164,19332,29153,48485,達成,解決,なし,E009,101.6,不可,中,3.9,Web
2024-09-15,V000435,東都フィナンシャル証券,金融,スポット,RX-500,緊急修理,147,18760,21306,40066,達成,未解決,あり,E012,175.3,不可,低,4.4,アプリ
2024-09-15,V000436,東和建設,建設,ベーシック,PX-80,予防保全,142,21826,21143,42969,達成,未解決,あり,E015,166.3,不可,中,4.0,電話
2024-09-17,V000437,東京湾岸エナジー,電力,プレミアム,MX-300,定期点検,79,0,13640,13640,達成,解決,なし,E023,90.1,不可,低,4.1,現地
2024-09-19,V000438,株式会社ネクストブリッジ,IT,スタンダード,MX-300,定期点検,80,0,12999,12999,達成,解決,なし,E022,148.4,不可,中,4.9,現地
2024-09-21,V000439,東京湾岸エナジー,電力,スポット,MX-100,予防保全,116,67288,18256,85544,未達,解決,なし,E022,160.0,不可,低,3.0,電話
2024-09-22,V000440,株式会社ミライテック,IT,スタンダード,MX-200,部品交換,141,61513,21711,83224,達成,解決,なし,E011,49.9,不可,中,3.4,電話
2024-09-23,V000441,日本橋製薬,製薬,スポット,AX-1000,再訪問対応,174,39087,23076,62163,未達,未解決,なし,E020,11.9,不可,低,3.9,アプリ
2024-09-24,V000442,大和精機製作所,製造業,スタンダード,PX-50,ソフトウェア更新,62,0,10086,10086,達成,未解決,あり,E014,118.4,可,低,3.6,メール
2024-09-24,V000443,みどり市役所,公共,ベーシック,AX-1000,再訪問対応,140,52867,20069,72936,達成,解決,なし,E025,102.2,不可,低,4.5,アプリ
2024-09-25,V000444,花鳥風月,観光,ベーシック,AX-2000,再訪問対応,110,31390,17086,48476,達成,解決,なし,E017,129.0,不可,高,4.5,現地
2024-09-26,V000445,大和精機製作所,製造業,スタンダード,MX-200,ソフトウェア更新,56,0,7836,7836,達成,未解決,なし,E017,103.2,可,高,4.4,電話
2024-09-26,V000446,東都フィナンシャル証券,金融,スタンダード,RX-500,再訪問対応,82,4132,9673,13805,達成,未解決,あり,E006,119.8,不可,低,3.6,アプリ
2024-09-27,V000447,東洋精機,製造業,スタンダード,PX-80,部品交換,99,36743,13255,49998,達成,解決,なし,E007,165.4,不可,中,3.4,Web
2024-09-27,V000448,東洋精機,製造業,スポット,PX-80,再訪問対応,146,24509,22762,47271,達成,解決,なし,E022,83.9,不可,低,4.0,現地
2024-09-27,V000449,東北ロジスティクス,物流,スタンダード,AX-1000,再訪問対応,108,18395,12901,31296,達成,解決,なし,E023,36.0,不可,中,4.3,Web
2024-09-27,V000450,みどり市役所,公共,スタンダード,MX-300,再訪問対応,116,62742,13963,76705,達成,未解決,なし,E005,77.1,不可,低,3.9,アプリ
2024-09-27,V000451,暮らしの匠,小売,スタンダード,RX-500,予防保全,111,45758,12271,58029,達成,解決,なし,E014,114.2,不可,中,3.6,アプリ
2024-09-28,V000452,東北ロジスティクス,物流,スタンダード,PX-80,定期点検,63,0,9922,9922,達成,解決,なし,E023,147.4,不可,低,3.6,電話
2024-09-28,V000453,東都フィナンシャル証券,金融,スタンダード,AX-1000,予防保全,71,47451,10038,57489,達成,未解決,あり,E024,79.6,不可,低,4.1,Web
2024-09-28,V000454,株式会社ネクストブリッジ,IT,スタンダード,PX-50,予防保全,61,63402,7270,70672,未達,解決,なし,E014,54.2,不可,中,2.6,メール
2024-09-28,V000455,花鳥風月,観光,ベーシック,MX-300,予防保全,84,22488,12801,35289,達成,未解決,あり,E016,20.0,不可,低,4.0,メール
2024-09-28,V000456,東京湾岸エナジー,電力,スタンダード,MX-100,部品交換,150,67991,16835,84826,未達,解決,なし,E020,13.3,不可,低,4.0,Web
2024-09-28,V000457,大和精機製作所,製造業,スタンダード,PX-80,部品交換,60,69552,9138,78690,達成,未解決,なし,E015,20.5,不可,低,3.6,アプリ
2024-09-28,V000458,暮らしの匠,小売,ベーシック,MX-200,予防保全,72,23895,11094,34989,達成,未解決,あり,E006,157.0,不可,高,3.8,メール
2024-09-29,V000459,東北ロジスティクス,物流,ベーシック,RX-500,再訪問対応,90,18119,15246,33365,未達,解決,なし,E025,80.2,不可,低,3.9,電話
2024-09-30,V000460,東京湾岸エナジー,電力,ベーシック,AX-1000,部品交換,85,49270,13095,62365,達成,解決,なし,E017,45.7,不可,中,4.6,アプリ
2024-09-30,V000461,花鳥風月,観光,プレミアム,AX-2000,ソフトウェア更新,37,0,6514,6514,達成,未解決,なし,E017,80.8,不可,中,3.9,電話
2024-09-30,V000462,大和精機製作所,製造業,スタンダード,MX-300,ソフトウェア更新,39,0,4447,4447,達成,未解決,なし,E017,114.4,不可,中,3.2,メール
2024-09-30,V000463,株式会社ネクストブリッジ,IT,ベーシック,PX-80,再訪問対応,122,21249,19400,40649,達成,未解決,あり,E018,81.4,不可,低,4.6,現地
2024-09-30,V000464,花鳥風月,観光,ベーシック,AX-1000,再訪問対応,127,45842,17437,63279,達成,解決,なし,E017,130.0,不可,高,4.1,現地
2024-10-01,V000465,東和建設,建設,プレミアム,PX-80,予防保全,151,72770,22872,95642,達成,解決,なし,E024,45.0,不可,中,4.2,アプリ
2024-10-01,V000466,暮らしの匠,小売,プレミアム,MX-100,部品交換,155,18351,21918,40269,達成,解決,なし,E011,103.9,不可,低,4.6,Web
2024-10-02,V000467,花鳥風月,観光,スポット,PX-50,部品交換,105,51501,15369,66870,達成,未解決,なし,E019,46.1,不可,低,3.9,Web
2024-10-03,V000468,花鳥風月,観光,スタンダード,MX-200,緊急修理,222,64423,27757,92180,達成,未解決,あり,E013,15.9,不可,中,4.4,現地
2024-10-03,V000469,東都フィナンシャル証券,金融,ベーシック,PX-80,予防保全,46,66165,7416,73581,達成,解決,なし,E017,76.2,不可,低,4.4,Web
2024-10-04,V000470,株式会社ネクストブリッジ,IT,スタンダード,MX-200,再訪問対応,128,50409,22338,72747,達成,解決,なし,E004,23.1,不可,高,2.8,電話
2024-10-05,V000471,株式会社ミライテック,IT,スタンダード,MX-300,定期点検,50,0,5997,5997,達成,未解決,あり,E010,107.0,不可,低,4.1,メール
2024-10-05,V000472,東京湾岸エナジー,電力,ベーシック,RX-500,定期点検,106,0,15912,15912,達成,解決,なし,E013,102.7,不可,高,3.6,アプリ
2024-10-05,V000473,みどり市役所,公共,ベーシック,MX-300,緊急修理,111,44626,12903,57529,達成,解決,なし,E013,113.2,不可,中,4.2,Web
2024-10-06,V000474,みどり市役所,公共,スタンダード,MX-100,再訪問対応,90,5251,13503,18754,未達,解決,なし,E018,143.7,不可,中,2.4,電話
2024-10-06,V000475,日本橋製薬,製薬,プレミアム,MX-100,予防保全,95,71711,11645,83356,達成,解決,なし,E008,5.4,不可,中,4.0,現地
2024-10-07,V000476,株式会社ネクストブリッジ,IT,ベーシック,AX-1000,ソフトウェア更新,72,0,8829,8829,達成,解決,なし,E003,6.3,可,低,3.8,電話
2024-10-08,V000477,暮らしの匠,小売,スタンダード,PX-80,緊急修理,203,9721,31061,40782,達成,未解決,あり,E002,59.9,不可,低,3.8,メール
2024-10-08,V000478,株式会社ミライテック,IT,スタンダード,AX-2000,部品交換,141,78812,17844,96656,達成,未解決,なし,E004,92.5,不可,中,4.1,メール
2024-10-09,V000479,東洋精機,製造業,スタンダード,AX-2000,定期点検,94,0,12111,12111,達成,解決,なし,E008,173.5,不可,中,5.0,現地
2024-10-09,V000480,日本橋製薬,製薬,プレミアム,AX-2000,ソフトウェア更新,71,0,9665,9665,達成,解決,なし,E014,177.4,不可,中,5.0,現地
2024-10-10,V000481,株式会社ネクストブリッジ,IT,プレミアム,RX-500,予防保全,126,34884,21264,56148,達成,未解決,あり,E021,69.7,不可,低,3.8,Web
2024-10-10,V000482,日本橋製薬,製薬,スタンダード,MX-100,緊急修理,138,18118,23202,41320,達成,解決,なし,E014,131.1,不可,高,4.5,Web
2024-10-10,V000483,日本橋製薬,製薬,スポット,AX-1000,再訪問対応,180,37784,22898,60682,未達,解決,なし,E015,177.0,不可,低,3.1,現地
2024-10-11,V000484,東和建設,建設,スポット,MX-300,再訪問対応,134,24745,18615,43360,未達,解決,なし,E025,161.4,不可,中,3.2,アプリ
2024-10-11,V000485,東都フィナンシャル証券,金融,ベーシック,MX-200,予防保全,89,51332,14945,66277,達成,未解決,なし,E025,65.7,不可,低,3.6,電話
2024-10-11,V000486,大和精機製作所,製造業,スタンダード,PX-50,ソフトウェア更新,61,0,9738,9738,達成,解決,なし,E023,36.1,不可,中,3.2,Web
2024-10-11,V000487,東京湾岸エナジー,電力,スタンダード,AX-1000,定期点検,93,0,15575,15575,達成,未解決,なし,E019,72.5,不可,高,4.3,現地
2024-10-11,V000488,株式会社ネクストブリッジ,IT,スタンダード,MX-300,定期点検,126,0,21405,21405,達成,解決,なし,E009,158.8,不可,中,4.8,Web
2024-10-12,V000489,みどり市役所,公共,プレミアム,PX-80,再訪問対応,173,8797,29370,38167,達成,解決,なし,E014,59.5,不可,中,3.7,メール
2024-10-12,V000490,大和精機製作所,製造業,スタンダード,RX-500,部品交換,118,57058,17377,74435,達成,解決,なし,E011,58.3,不可,低,3.8,電話
2024-10-12,V000491,みどり市役所,公共,ベーシック,PX-50,再訪問対応,130,42737,14871,57608,達成,解決,なし,E014,113.3,不可,低,4.3,電話
2024-10-12,V000492,日本橋製薬,製薬,ベーシック,AX-1000,部品交換,174,45724,25469,71193,達成,解決,なし,E020,44.1,不可,低,3.8,現地
2024-10-12,V000493,株式会社ネクストブリッジ,IT,プレミアム,RX-500,予防保全,62,10523,10216,20739,達成,未解決,なし,E002,13.0,不可,中,4.7,メール
2024-10-13,V000494,日本橋製薬,製薬,スタンダード,MX-200,再訪問対応,149,55884,18821,74705,達成,解決,なし,E001,108.7,不可,中,3.6,アプリ
2024-10-15,V000495,株式会社ミライテック,IT,ベーシック,MX-200,部品交換,80,16156,9375,25531,達成,未解決,あり,E007,107.9,不可,低,3.9,現地
2024-10-16,V000496,大和精機製作所,製造業,スタンダード,AX-1000,ソフトウェア更新,63,0,7124,7124,達成,解決,なし,E021,24.7,可,中,4.3,メール
2024-10-16,V000497,東和建設,建設,ベーシック,MX-300,緊急修理,124,69853,18730,88583,達成,解決,なし,E017,122.7,不可,低,5.0,現地
2024-10-16,V000498,みどり市役所,公共,スタンダード,PX-50,緊急修理,172,64354,27285,91639,達成,解決,なし,E011,176.8,不可,中,4.1,現地
2024-10-17,V000499,東都フィナンシャル証券,金融,スタンダード,PX-80,ソフトウェア更新,83,0,12011,12011,達成,解決,なし,E015,165.8,可,中,3.2,現地
2024-10-18,V000500,東京湾岸エナジー,電力,スタンダード,AX-1000,再訪問対応,131,3296,15086,18382,達成,解決,なし,E010,7.3,不可,低,3.9,アプリ
2024-10-18,V000501,東京湾岸エナジー,電力,スタンダード,AX-1000,定期点検,86,0,11037,11037,未達,解決,なし,E008,33.0,不可,中,3.5,Web
2024-10-19,V000502,東京湾岸エナジー,電力,プレミアム,PX-80,定期点検,61,0,7183,7183,達成,解決,なし,E008,168.6,不可,低,4.6,メール
2024-10-19,V000503,花鳥風月,観光,ベーシック,AX-2000,再訪問対応,181,27124,26657,53781,達成,解決,なし,E014,125.6,不可,低,3.6,Web
2024-10-20,V000504,暮らしの匠,小売,ベーシック,PX-50,予防保全,100,38709,17109,55818,達成,解決,なし,E016,153.6,不可,高,4.7,Web
2024-10-21,V000505,東北ロジスティクス,物流,ベーシック,MX-200,緊急修理,106,62852,12988,75840,達成,未解決,なし,E016,128.8,不可,中,4.0,アプリ
2024-10-21,V000506,株式会社ネクストブリッジ,IT,スタンダード,MX-100,緊急修理,174,42107,24316,66423,達成,解決,なし,E012,69.1,不可,低,3.6,メール
2024-10-22,V000507,東都フィナンシャル証券,金融,プレミアム,MX-200,部品交換,90,46089,12584,58673,達成,解決,なし,E016,85.2,不可,低,3.7,メール
2024-10-22,V000508,東和建設,建設,プレミアム,RX-500,緊急修理,175,67767,25531,93298,達成,解決,なし,E008,116.6,不可,中,3.8,電話
2024-10-22,V000509,大和精機製作所,製造業,スタンダード,PX-50,部品交換,102,37974,12581,50555,達成,解決,なし,E025,109.5,不可,低,4.9,現地
2024-10-23,V000510,みどり市役所,公共,プレミアム,PX-80,部品交換,94,78015,15326,93341,達成,解決,なし,E025,4.1,不可,中,4.3,Web
2024-10-25,V000511,みどり市役所,公共,スタンダード,PX-50,ソフトウェア更新,44,0,7348,7348,達成,解決,なし,E014,62.6,可,中,3.8,アプリ
2024-10-25,V000512,東京湾岸エナジー,電力,スタンダード,MX-100,部品交換,117,48486,15653,64139,達成,未解決,あり,E013,76.6,不可,中,3.4,現地
2024-10-26,V000513,東和建設,建設,スタンダード,MX-100,緊急修理,115,77219,19628,96847,達成,未解決,あり,E013,176.5,不可,低,3.5,電話
2024-10-27,V000514,東都フィナンシャル証券,金融,プレミアム,MX-200,部品交換,130,15672,20441,36113,達成,解決,なし,E020,33.6,不可,中,3.9,アプリ
2024-10-27,V000515,東洋精機,製造業,プレミアム,AX-2000,部品交換,87,50319,12727,63046,達成,解決,なし,E014,32.6,不可,高,3.9,アプリ
2024-10-27,V000516,大和精機製作所,製造業,プレミアム,AX-2000,ソフトウェア更新,68,0,11623,11623,達成,解決,なし,E006,57.1,不可,中,3.8,現地
2024-10-28,V000517,東都フィナンシャル証券,金融,スタンダード,PX-50,予防保全,122,60422,13966,74388,達成,解決,なし,E017,73.1,不可,中,5.0,メール
2024-10-29,V000518,みどり市役所,公共,ベーシック,RX-500,ソフトウェア更新,72,0,11449,11449,達成,未解決,あり,E006,128.7,可,中,3.6,アプリ
2024-10-30,V000519,東京湾岸エナジー,電力,ベーシック,AX-2000,ソフトウェア更新,79,0,8931,8931,達成,未解決,なし,E018,159.6,可,高,4.4,メール
2024-10-30,V000520,日本橋製薬,製薬,プレミアム,PX-50,ソフトウェア更新,70,0,11401,11401,達成,解決,なし,E006,91.8,不可,低,4.3,メール
2024-10-31,V000521,東京湾岸エナジー,電力,プレミアム,MX-100,定期点検,69,0,9518,9518,達成,解決,なし,E009,36.6,不可,低,4.1,電話
