日付,社員ID,部門,職位,出勤,退勤,所定時間分,残業時間分,深夜時間分,休暇種別,有休消化日数,テレワーク,フレックス利用,打刻漏れ,36協定残量分,プロジェクトID,勤務地,シフトパターン,曜日,業務カテゴリ
2024-02-07,EMP0117,営業1部,主任,09:04,17:04,480,0,0,,0.1,なし,あり,なし,1500,PJ0008,福岡オフィス,シフトA,水,製造
2024-02-07,EMP0141,人事部,主任,,,0,0,0,慶弔,0.6,あり,なし,なし,1326,PJ0026,大阪オフィス,夜勤,水,管理
2024-02-07,EMP0102,経理部,一般,09:15,17:15,480,0,0,,0.8,なし,あり,なし,1121,PJ0025,リモート,通常,水,管理
2024-02-07,EMP0133,経理部,主任,09:30,17:01,480,31,0,,0.4,なし,あり,なし,1758,PJ0027,工場,通常,水,製造
2025-07-28,EMP0160,経理部,課長,09:28,17:13,480,45,0,,0.3,なし,あり,なし,1326,PJ0027,福岡オフィス,通常,月,事務
2025-07-28,EMP0178,営業1部,一般,08:52,17:56,480,64,0,,0.9,あり,なし,なし,1833,PJ0006,大阪オフィス,通常,月,事務
2025-07-28,EMP0177,製造1部,課長,08:03,16:06,480,3,0,,0.9,あり,なし,なし,1019,PJ0019,福岡オフィス,夜勤,月,営業活動
2025-07-28,EMP0134,経理部,部長,08:54,16:54,480,0,0,,0.9,なし,なし,あり,965,PJ0026,福岡オフィス,フレックス,月,営業活動
2025-07-28,EMP0179,製造2部,一般,,,0,0,0,有給,0.2,なし,あり,なし,746,PJ0009,本社,通常,月,開発
2025-07-28,EMP0034,DX推進部,主任,10:01,18:01,480,0,0,,0.7,なし,なし,なし,1684,PJ0017,福岡オフィス,シフトB,月,事務
2025-07-28,EMP0043,DX推進部,課長,09:18,17:23,480,5,0,,0.6,あり,なし,なし,1794,PJ0028,本社,通常,月,事務
2025-07-28,EMP0189,DX推進部,一般,09:27,18:37,480,70,0,,0.3,あり,なし,なし,855,PJ0022,福岡オフィス,シフトB,月,会議
2025-07-28,EMP0014,営業1部,一般,09:59,17:29,480,30,0,,0.9,あり,なし,なし,1130,PJ0011,本社,シフトA,月,開発
2025-07-28,EMP0001,経理部,主任,10:27,18:27,480,0,0,,0.1,あり,なし,なし,1301,PJ0004,工場,通常,月,会議
2025-07-28,EMP0171,R&D部,課長,08:02,16:18,480,16,0,,0.4,なし,あり,なし,895,PJ0026,リモート,シフトA,月,事務
2025-07-28,EMP0163,マーケ部,係長,09:24,17:44,480,20,0,,0.1,あり,なし,なし,860,PJ0027,本社,フレックス,月,サポート
2025-02-05,EMP0170,営業2部,課長,08:56,16:38,480,42,0,,0.2,なし,あり,なし,1398,PJ0009,本社,フレックス,水,営業活動
2025-02-05,EMP0078,経理部,課長,08:16,17:18,480,62,0,,0.5,なし,あり,なし,1205,PJ0026,リモート,シフトA,水,サポート
2025-02-05,EMP0102,経理部,一般,09:27,17:21,480,54,0,,0.9,なし,あり,なし,1178,PJ0007,福岡オフィス,フレックス,水,会議
2025-02-05,EMP0059,製造1部,係長,08:09,16:00,480,51,0,,0.0,なし,あり,なし,1608,PJ0024,工場,夜勤,水,サポート
2025-02-05,EMP0026,経理部,一般,08:54,16:49,480,55,0,,0.1,あり,なし,なし,761,PJ0028,リモート,フレックス,水,管理
2025-02-05,EMP0057,DX推進部,主任,09:04,18:16,480,72,0,,0.8,なし,なし,なし,1486,PJ0018,名古屋オフィス,夜勤,水,会議
2025-02-05,EMP0040,マーケ部,一般,09:27,18:14,480,107,39,,0.3,あり,なし,なし,698,PJ0025,福岡オフィス,シフトB,水,会議
2025-02-05,EMP0018,営業2部,主任,08:19,16:19,480,0,0,,1.0,あり,あり,あり,935,PJ0026,リモート,シフトB,水,製造
2025-02-05,EMP0013,製造2部,主任,09:06,17:23,480,17,0,,0.7,なし,なし,なし,1554,PJ0009,本社,シフトA,水,サポート
2025-02-05,EMP0095,総務部,一般,09:00,17:54,480,54,0,,0.3,あり,なし,なし,962,PJ0007,工場,シフトA,水,製造
2025-02-05,EMP0016,製造2部,一般,10:11,18:46,480,35,0,,0.8,あり,なし,なし,1554,PJ0028,名古屋オフィス,シフトA,水,開発
2025-02-05,EMP0074,DX推進部,一般,10:37,18:28,480,51,0,,0.2,あり,なし,なし,1550,PJ0002,工場,フレックス,水,開発
2024-02-05,EMP0034,DX推進部,主任,09:45,17:45,480,0,0,,0.3,あり,あり,なし,1467,PJ0024,福岡オフィス,通常,月,事務
2024-02-05,EMP0072,人事部,一般,09:04,17:25,480,21,0,,1.0,あり,なし,なし,1421,PJ0029,福岡オフィス,フレックス,月,製造
2024-02-05,EMP0071,R&D部,係長,10:04,18:22,480,18,0,,0.9,あり,なし,なし,1608,PJ0029,リモート,通常,月,事務
2024-02-05,EMP0170,営業2部,課長,09:52,17:54,480,2,0,,0.5,なし,あり,なし,1614,PJ0018,大阪オフィス,フレックス,月,開発
2024-02-05,EMP0155,人事部,一般,08:49,16:23,480,34,0,,0.6,なし,あり,なし,798,PJ0021,リモート,シフトB,月,管理
2024-02-05,EMP0068,営業2部,一般,09:36,17:36,480,0,0,,0.1,なし,なし,なし,1854,PJ0027,リモート,夜勤,月,営業活動
2024-02-05,EMP0188,DX推進部,一般,08:00,17:53,480,113,3,,0.3,なし,あり,なし,1529,PJ0017,福岡オフィス,通常,月,営業活動
2024-02-05,EMP0028,情報システム部,課長,09:57,18:12,480,75,0,,0.6,なし,あり,なし,1189,PJ0024,工場,フレックス,月,管理
2024-02-05,EMP0106,人事部,一般,09:23,17:27,480,4,0,,0.1,あり,あり,なし,1737,PJ0006,名古屋オフィス,シフトA,月,製造
2024-02-05,EMP0139,経理部,一般,10:00,18:26,480,26,0,,0.4,なし,なし,なし,799,PJ0014,福岡オフィス,シフトA,月,会議
2024-02-05,EMP0122,営業1部,一般,10:05,19:17,480,72,0,,0.8,なし,なし,なし,704,PJ0021,リモート,シフトB,月,開発
2024-02-05,EMP0197,製造1部,課長,09:38,17:59,480,21,0,,0.6,あり,なし,あり,871,PJ0018,福岡オフィス,シフトA,月,会議
2024-12-31,EMP0114,DX推進部,一般,08:38,17:07,480,89,0,,0.3,あり,なし,なし,1426,PJ0007,福岡オフィス,夜勤,火,管理
2024-12-31,EMP0198,製造1部,主任,10:17,18:39,480,22,0,,0.5,あり,なし,なし,1375,PJ0021,大阪オフィス,夜勤,火,会議
2024-12-31,EMP0185,営業2部,主任,,,0,0,0,有給,0.9,あり,なし,なし,1398,PJ0004,福岡オフィス,通常,火,管理
2024-12-31,EMP0050,マーケ部,部長,,,0,0,0,有給,0.7,なし,なし,なし,1598,PJ0017,名古屋オフィス,夜勤,火,製造
2024-12-31,EMP0123,マーケ部,主任,08:18,16:18,480,0,0,,1.0,あり,なし,なし,1282,PJ0002,名古屋オフィス,シフトB,火,製造
2024-12-31,EMP0150,総務部,係長,10:02,18:45,480,43,0,,0.7,なし,なし,なし,1108,PJ0011,大阪オフィス,夜勤,火,営業活動
2024-12-31,EMP0129,マーケ部,一般,10:53,18:32,480,39,0,,0.2,なし,あり,なし,1036,PJ0017,本社,シフトA,火,管理
2024-12-31,EMP0183,R&D部,一般,08:04,16:23,480,19,0,,0.1,なし,なし,なし,1309,PJ0021,リモート,シフトB,火,事務
2024-12-31,EMP0027,マーケ部,主任,10:50,18:56,480,6,0,,0.5,なし,なし,なし,1787,PJ0002,リモート,フレックス,火,会議
2024-12-31,EMP0053,R&D部,主任,08:31,16:12,480,41,0,,0.7,なし,なし,なし,935,PJ0019,福岡オフィス,シフトA,火,製造
2024-12-31,EMP0070,製造1部,係長,,,0,0,0,有給,0.2,あり,なし,なし,802,PJ0026,名古屋オフィス,シフトB,火,製造
2024-12-31,EMP0062,R&D部,課長,09:39,17:39,480,0,0,,0.5,あり,なし,なし,845,PJ0015,リモート,通常,火,開発
2024-05-14,EMP0063,人事部,主任,10:04,18:01,480,57,0,,0.6,なし,なし,なし,1224,PJ0014,工場,シフトB,火,サポート
2024-05-14,EMP0111,情報システム部,一般,,,0,0,0,特別休暇,0.6,なし,なし,なし,1237,PJ0009,名古屋オフィス,シフトA,火,開発
2024-05-14,EMP0023,営業1部,課長,08:10,16:25,480,15,0,,0.9,なし,あり,なし,911,PJ0027,福岡オフィス,通常,火,製造
2024-05-14,EMP0182,DX推進部,主任,09:32,17:04,480,32,0,,0.8,なし,なし,なし,1741,PJ0004,名古屋オフィス,夜勤,火,開発
2024-05-14,EMP0168,製造2部,主任,09:15,17:00,480,45,0,,0.2,あり,なし,なし,1795,PJ0026,福岡オフィス,通常,火,事務
2024-05-14,EMP0051,DX推進部,一般,,,0,0,0,傷病,0.1,なし,あり,なし,772,PJ0005,名古屋オフィス,シフトA,火,開発
2024-05-14,EMP0021,マーケ部,課長,09:10,17:10,480,0,0,,0.5,なし,なし,なし,1369,PJ0002,リモート,通常,火,会議
2024-05-14,EMP0034,DX推進部,主任,09:14,17:26,480,12,0,,0.7,なし,なし,なし,1270,PJ0001,名古屋オフィス,シフトB,火,サポート
2024-05-14,EMP0185,営業2部,主任,09:15,17:15,480,0,0,,0.4,なし,なし,なし,758,PJ0019,福岡オフィス,夜勤,火,管理
2024-05-14,EMP0117,営業1部,主任,09:07,18:35,480,88,0,,0.9,なし,なし,なし,1260,PJ0003,リモート,通常,火,開発
2024-05-14,EMP0198,製造1部,主任,08:24,16:24,480,0,0,,1.0,なし,なし,なし,999,PJ0008,福岡オフィス,シフトA,火,会議
2024-05-14,EMP0151,営業2部,係長,09:39,17:47,480,8,0,,0.4,なし,あり,なし,1646,PJ0015,名古屋オフィス,通常,火,管理
2025-01-02,EMP0036,製造2部,一般,09:28,17:19,480,51,0,,0.9,なし,あり,なし,848,PJ0023,リモート,通常,木,製造
2025-01-02,EMP0127,情報システム部,課長,10:15,18:25,480,10,0,,0.1,なし,あり,なし,1701,PJ0011,大阪オフィス,シフトA,木,営業活動
2025-01-02,EMP0086,R&D部,一般,09:42,17:23,480,41,0,,0.2,なし,なし,なし,1498,PJ0016,工場,夜勤,木,製造
2025-01-02,EMP0186,製造2部,一般,08:09,16:11,480,2,0,,0.6,あり,あり,あり,802,PJ0026,工場,フレックス,木,開発
2025-01-02,EMP0146,情報システム部,主任,09:38,18:18,480,100,0,,0.0,なし,あり,なし,1128,PJ0003,福岡オフィス,夜勤,木,事務
2025-01-02,EMP0100,営業1部,主任,10:50,18:50,480,0,0,,0.3,あり,なし,なし,1720,PJ0028,福岡オフィス,通常,木,営業活動
2025-01-02,EMP0143,営業1部,一般,08:54,16:11,480,17,0,,0.7,なし,あり,なし,1015,PJ0021,工場,フレックス,木,開発
2025-01-02,EMP0052,営業2部,部長,09:35,17:00,480,25,0,,0.0,あり,あり,なし,1120,PJ0018,リモート,シフトB,木,製造
2025-01-02,EMP0006,情報システム部,主任,08:18,16:18,480,0,0,,0.1,あり,なし,なし,1082,PJ0014,リモート,シフトB,木,管理
2025-01-02,EMP0135,営業1部,主任,09:46,18:08,480,82,0,,0.6,あり,なし,あり,841,PJ0028,本社,シフトA,木,サポート
2025-01-02,EMP0060,製造1部,課長,09:36,17:54,480,18,0,,1.0,あり,なし,なし,1657,PJ0009,工場,通常,木,営業活動
2025-01-02,EMP0192,マーケ部,課長,09:05,18:16,480,71,0,,0.1,なし,なし,なし,1772,PJ0023,名古屋オフィス,通常,木,会議
2026-05-08,EMP0033,情報システム部,主任,09:58,17:58,480,0,0,,0.4,なし,なし,なし,1066,PJ0004,福岡オフィス,フレックス,金,会議
2026-05-08,EMP0184,人事部,課長,09:17,17:17,480,0,0,,0.7,なし,なし,なし,1225,PJ0025,リモート,夜勤,金,営業活動
2026-05-08,EMP0048,DX推進部,一般,08:44,16:44,480,0,0,,0.7,なし,あり,なし,1343,PJ0007,工場,シフトB,金,サポート
2026-05-08,EMP0086,R&D部,一般,09:31,17:03,480,32,0,,0.2,なし,あり,なし,1470,PJ0010,工場,フレックス,金,製造
2026-05-08,EMP0146,情報システム部,主任,09:53,19:09,480,136,16,,0.1,あり,なし,なし,1141,PJ0004,名古屋オフィス,通常,金,事務
2026-05-08,EMP0095,総務部,一般,08:25,17:02,480,97,0,,0.7,あり,なし,なし,1443,PJ0007,本社,夜勤,金,管理
2026-05-08,EMP0167,営業1部,一般,08:31,16:31,480,0,0,,0.7,あり,なし,なし,879,PJ0022,福岡オフィス,シフトA,金,管理
2026-05-08,EMP0091,製造1部,主任,10:36,19:14,480,98,33,,0.4,なし,なし,なし,1209,PJ0003,名古屋オフィス,シフトA,金,管理
2026-05-08,EMP0052,営業2部,部長,10:25,18:33,480,8,0,,0.5,なし,なし,なし,828,PJ0001,リモート,シフトB,金,営業活動
2026-05-08,EMP0117,営業1部,主任,08:35,16:20,480,45,0,,0.6,なし,なし,なし,1529,PJ0024,名古屋オフィス,通常,金,営業活動
2026-05-08,EMP0163,マーケ部,係長,08:37,16:03,480,26,0,,0.5,あり,なし,なし,1060,PJ0026,リモート,通常,金,開発
2026-05-08,EMP0151,営業2部,係長,09:19,17:43,480,24,0,,0.5,なし,なし,なし,1118,PJ0020,大阪オフィス,通常,金,管理
2025-01-23,EMP0116,営業2部,一般,09:02,17:46,480,44,0,,0.1,なし,あり,なし,774,PJ0026,工場,シフトA,木,サポート
2025-01-23,EMP0085,総務部,一般,08:43,16:17,480,34,0,,0.4,なし,なし,なし,1678,PJ0015,名古屋オフィス,夜勤,木,管理
2025-01-23,EMP0181,営業1部,一般,09:03,17:00,480,57,0,,0.8,あり,なし,なし,689,PJ0021,リモート,シフトA,木,事務
2025-01-23,EMP0192,マーケ部,課長,,,0,0,0,代休,0.9,あり,なし,なし,1345,PJ0026,名古屋オフィス,フレックス,木,サポート
2025-01-23,EMP0166,営業2部,主任,09:25,17:59,480,34,0,,0.7,なし,あり,なし,1188,PJ0014,工場,夜勤,木,サポート
2025-01-23,EMP0163,マーケ部,係長,08:18,16:18,480,0,0,,0.8,あり,なし,なし,1877,PJ0015,本社,通常,木,製造
2025-01-23,EMP0186,製造2部,一般,09:10,17:51,480,41,0,,0.8,あり,あり,なし,1359,PJ0002,名古屋オフィス,フレックス,木,営業活動
2025-01-23,EMP0195,DX推進部,主任,09:00,17:44,480,44,0,,0.2,なし,なし,なし,1156,PJ0028,本社,シフトA,木,開発
2025-01-23,EMP0197,製造1部,課長,09:55,17:45,480,50,0,,0.0,なし,なし,なし,733,PJ0003,リモート,通常,木,会議
2025-01-23,EMP0006,情報システム部,主任,09:54,18:56,480,62,0,,0.6,なし,あり,なし,1539,PJ0010,リモート,夜勤,木,開発
2025-01-23,EMP0189,DX推進部,一般,,,0,0,0,傷病,0.5,なし,なし,なし,1545,PJ0020,本社,通常,木,開発
2025-01-23,EMP0091,製造1部,主任,08:08,16:31,480,23,0,,0.0,あり,なし,なし,864,PJ0001,本社,シフトB,木,会議
2025-01-16,EMP0142,総務部,一般,10:12,18:19,480,7,0,,0.9,あり,なし,なし,1522,PJ0020,リモート,通常,木,開発
2025-01-16,EMP0042,マーケ部,主任,10:15,18:15,480,0,0,,0.5,なし,あり,なし,1828,PJ0003,福岡オフィス,フレックス,木,会議
2025-01-16,EMP0181,営業1部,一般,09:32,17:32,480,0,0,,0.9,なし,あり,あり,929,PJ0029,大阪オフィス,夜勤,木,事務
2025-01-16,EMP0039,営業2部,主任,09:38,17:43,480,5,0,,0.5,なし,なし,なし,895,PJ0029,福岡オフィス,夜勤,木,管理
2025-01-16,EMP0034,DX推進部,主任,08:22,16:22,480,0,0,,0.4,あり,あり,なし,1118,PJ0002,大阪オフィス,通常,木,開発
2025-01-16,EMP0078,経理部,課長,08:40,16:01,480,21,0,,0.2,なし,なし,なし,766,PJ0026,リモート,シフトA,木,管理
2025-01-16,EMP0061,マーケ部,主任,09:59,17:59,480,0,0,,0.4,なし,なし,なし,1889,PJ0007,名古屋オフィス,シフトA,木,開発
2025-01-16,EMP0127,情報システム部,課長,09:41,18:23,480,102,13,,0.4,なし,あり,なし,1053,PJ0005,工場,シフトA,木,製造
2025-01-16,EMP0138,DX推進部,主任,09:42,17:18,480,36,0,,0.5,なし,なし,なし,719,PJ0005,リモート,シフトB,木,開発
2025-01-16,EMP0108,R&D部,一般,09:39,18:43,480,64,0,,0.5,あり,なし,なし,968,PJ0021,リモート,フレックス,木,営業活動
2025-01-16,EMP0085,総務部,一般,09:27,17:20,480,53,0,,0.2,なし,なし,なし,1202,PJ0021,福岡オフィス,通常,木,営業活動
2025-01-16,EMP0043,DX推進部,課長,08:24,16:24,480,0,0,,0.8,なし,なし,なし,1060,PJ0004,福岡オフィス,シフトB,木,開発
2025-07-03,EMP0041,R&D部,係長,09:28,17:25,480,57,0,,0.9,なし,なし,なし,806,PJ0011,大阪オフィス,フレックス,木,開発
2025-07-03,EMP0166,営業2部,主任,,,0,0,0,傷病,0.3,あり,あり,なし,1079,PJ0006,大阪オフィス,夜勤,木,事務
2025-07-03,EMP0025,総務部,一般,10:25,18:25,480,0,0,,0.2,なし,なし,なし,746,PJ0007,大阪オフィス,通常,木,開発
2025-07-03,EMP0082,営業2部,一般,10:52,18:52,480,0,0,,0.1,あり,なし,なし,1337,PJ0008,本社,シフトB,木,事務
2025-07-03,EMP0033,情報システム部,主任,10:30,18:49,480,19,0,,0.4,あり,あり,なし,1551,PJ0011,名古屋オフィス,通常,木,営業活動
2025-07-03,EMP0098,マーケ部,一般,,,0,0,0,代休,0.4,あり,なし,なし,746,PJ0012,リモート,フレックス,木,開発
2025-07-03,EMP0069,DX推進部,課長,09:28,17:28,480,0,0,,0.2,なし,なし,なし,1522,PJ0017,大阪オフィス,通常,木,製造
2025-07-03,EMP0028,情報システム部,課長,09:18,18:00,480,102,5,,0.1,あり,なし,なし,690,PJ0027,福岡オフィス,フレックス,木,製造
2025-07-03,EMP0184,人事部,課長,08:52,17:22,480,90,0,,0.2,あり,あり,なし,613,PJ0017,大阪オフィス,フレックス,木,製造
2025-07-03,EMP0129,マーケ部,一般,08:24,17:21,480,117,14,,0.9,なし,あり,なし,949,PJ0002,大阪オフィス,シフトA,木,会議
2025-07-03,EMP0199,製造1部,一般,08:09,16:09,480,0,0,,0.9,なし,なし,なし,1894,PJ0019,名古屋オフィス,シフトB,木,管理
2025-07-03,EMP0065,情報システム部,課長,09:20,17:54,480,34,0,,1.0,なし,なし,なし,1770,PJ0023,福岡オフィス,シフトB,木,事務
2024-06-27,EMP0084,マーケ部,一般,10:15,18:55,480,40,0,,0.9,なし,あり,なし,1432,PJ0004,リモート,通常,木,事務
2024-06-27,EMP0074,DX推進部,一般,,,0,0,0,有給,0.2,あり,あり,あり,1323,PJ0016,本社,夜勤,木,営業活動
2024-06-27,EMP0112,人事部,課長,09:00,18:08,480,68,0,,0.6,なし,なし,なし,1530,PJ0017,工場,シフトA,木,開発
2024-06-27,EMP0048,DX推進部,一般,08:38,16:24,480,46,0,,0.7,なし,なし,なし,1159,PJ0005,名古屋オフィス,シフトA,木,事務
2024-06-27,EMP0027,マーケ部,主任,09:04,17:05,480,1,0,,0.3,あり,なし,なし,953,PJ0003,工場,シフトA,木,製造
2024-06-27,EMP0013,製造2部,主任,08:26,16:22,480,56,0,,0.3,あり,なし,なし,660,PJ0021,リモート,シフトB,木,営業活動
2024-06-27,EMP0165,マーケ部,主任,09:59,17:30,480,31,0,,0.5,なし,なし,なし,1144,PJ0021,リモート,通常,木,開発
2024-06-27,EMP0002,製造1部,一般,10:23,19:51,480,88,0,,0.1,なし,なし,なし,979,PJ0004,名古屋オフィス,シフトB,木,製造
2024-06-27,EMP0096,R&D部,課長,08:05,16:46,480,41,0,,0.5,なし,なし,なし,1456,PJ0008,工場,フレックス,木,会議
2024-06-27,EMP0043,DX推進部,課長,08:46,16:46,480,0,0,,0.9,あり,なし,なし,1298,PJ0027,リモート,フレックス,木,製造
2024-06-27,EMP0180,営業2部,一般,09:29,17:09,480,40,0,,0.2,なし,あり,なし,1261,PJ0008,工場,通常,木,事務
2024-06-27,EMP0104,営業2部,一般,09:37,17:51,480,14,0,,0.8,あり,なし,なし,1191,PJ0025,大阪オフィス,シフトB,木,管理
2025-09-11,EMP0008,R&D部,係長,10:34,18:01,480,27,0,,0.2,あり,なし,なし,1181,PJ0010,福岡オフィス,夜勤,木,製造
2025-09-11,EMP0189,DX推進部,一般,09:16,17:16,480,0,0,,0.2,あり,なし,なし,1146,PJ0026,大阪オフィス,フレックス,木,管理
2025-09-11,EMP0148,製造1部,一般,08:03,16:09,480,6,0,,0.1,なし,なし,なし,1892,PJ0006,福岡オフィス,フレックス,木,事務
2025-09-11,EMP0054,営業2部,係長,08:13,16:45,480,32,0,,0.4,なし,あり,なし,1784,PJ0022,リモート,フレックス,木,営業活動
2025-09-11,EMP0042,マーケ部,主任,09:12,17:12,480,0,0,,0.3,あり,なし,なし,886,PJ0007,本社,夜勤,木,開発
2025-09-11,EMP0064,営業2部,課長,09:04,17:04,480,0,0,,0.5,なし,なし,なし,1188,PJ0007,福岡オフィス,シフトB,木,開発
2025-09-11,EMP0068,営業2部,一般,10:07,18:02,480,55,0,,0.9,なし,あり,なし,782,PJ0005,本社,フレックス,木,製造
2025-09-11,EMP0110,総務部,課長,08:03,16:30,480,27,0,,0.4,なし,なし,なし,1668,PJ0027,名古屋オフィス,夜勤,木,管理
2025-09-11,EMP0182,DX推進部,主任,09:54,17:36,480,42,0,,0.4,あり,なし,なし,787,PJ0014,リモート,シフトB,木,営業活動
2025-09-11,EMP0127,情報システム部,課長,09:45,18:47,480,62,0,,0.3,なし,なし,なし,988,PJ0028,名古屋オフィス,シフトB,木,開発
2025-09-11,EMP0052,営業2部,部長,09:08,17:08,480,0,0,,0.7,あり,なし,なし,1697,PJ0020,リモート,シフトB,木,管理
2025-09-11,EMP0145,製造1部,部長,09:53,17:53,480,0,0,,0.2,なし,あり,なし,1471,PJ0011,福岡オフィス,シフトB,木,会議
2024-01-11,EMP0125,製造1部,一般,09:30,17:45,480,15,0,,0.6,あり,なし,なし,921,PJ0029,大阪オフィス,シフトA,木,営業活動
2024-01-11,EMP0061,マーケ部,主任,09:49,17:31,480,42,0,,0.6,あり,なし,なし,1037,PJ0015,大阪オフィス,シフトA,木,会議
2024-01-11,EMP0090,DX推進部,主任,08:49,17:04,480,75,0,,0.6,なし,なし,なし,1044,PJ0005,リモート,フレックス,木,管理
2024-01-11,EMP0180,営業2部,一般,09:57,17:06,480,9,0,,0.6,なし,なし,なし,1039,PJ0025,名古屋オフィス,シフトA,木,開発
2024-01-11,EMP0109,情報システム部,主任,08:34,16:34,480,0,0,,0.9,なし,なし,あり,904,PJ0019,リモート,フレックス,木,開発
2024-01-11,EMP0031,営業2部,一般,09:14,17:49,480,35,0,,0.0,なし,あり,なし,962,PJ0015,リモート,シフトA,木,会議
2024-01-11,EMP0112,人事部,課長,08:03,17:04,480,61,0,,0.0,あり,なし,なし,1416,PJ0014,福岡オフィス,シフトB,木,会議
2024-01-11,EMP0178,営業1部,一般,10:05,18:57,480,52,0,,0.2,あり,あり,なし,1476,PJ0025,福岡オフィス,シフトA,木,開発
2024-01-11,EMP0017,経理部,一般,09:10,17:00,480,50,0,,0.8,なし,なし,なし,1355,PJ0022,工場,シフトB,木,事務
2024-01-11,EMP0051,DX推進部,一般,09:04,17:49,480,45,0,,0.7,なし,なし,なし,1667,PJ0010,名古屋オフィス,通常,木,管理
2024-01-11,EMP0162,情報システム部,一般,09:34,18:42,480,68,0,,1.0,あり,あり,なし,781,PJ0011,名古屋オフィス,通常,木,製造
2024-01-11,EMP0016,製造2部,一般,09:29,18:43,480,74,0,,0.1,なし,なし,なし,1645,PJ0027,名古屋オフィス,夜勤,木,製造
2026-03-13,EMP0152,製造2部,主任,08:15,16:16,480,1,0,,0.0,なし,なし,なし,1261,PJ0014,福岡オフィス,通常,金,サポート
2026-03-13,EMP0191,人事部,一般,,,0,0,0,有給,0.9,なし,あり,なし,1229,PJ0015,大阪オフィス,シフトB,金,事務
2026-03-13,EMP0022,DX推進部,一般,08:10,16:10,480,0,0,,0.6,なし,なし,なし,1200,PJ0002,福岡オフィス,シフトA,金,製造
2026-03-13,EMP0071,R&D部,係長,10:00,19:25,480,85,0,,0.1,あり,なし,なし,1355,PJ0011,リモート,フレックス,金,営業活動
2026-03-13,EMP0025,総務部,一般,08:59,16:59,480,0,0,,0.8,あり,なし,なし,1017,PJ0027,名古屋オフィス,通常,金,製造
2026-03-13,EMP0113,マーケ部,部長,,,0,0,0,有給,0.2,あり,あり,なし,766,PJ0021,本社,通常,金,営業活動
2026-03-13,EMP0049,総務部,係長,08:20,16:20,480,0,0,,0.8,あり,なし,なし,1149,PJ0018,福岡オフィス,フレックス,金,製造
2026-03-13,EMP0128,製造2部,一般,,,0,0,0,有給,0.7,なし,あり,なし,996,PJ0024,大阪オフィス,フレックス,金,営業活動
2026-03-13,EMP0169,経理部,課長,08:45,16:56,480,11,0,,0.2,あり,なし,なし,1340,PJ0016,本社,通常,金,会議
2026-03-13,EMP0146,情報システム部,主任,09:19,18:29,480,70,0,,0.5,なし,なし,なし,1612,PJ0012,福岡オフィス,シフトB,金,管理
2026-03-13,EMP0150,総務部,係長,09:01,17:01,480,0,0,,0.4,あり,なし,なし,859,PJ0025,工場,夜勤,金,営業活動
2026-03-13,EMP0179,製造2部,一般,10:47,18:34,480,47,0,,0.7,あり,なし,なし,1285,PJ0001,本社,フレックス,金,管理
2025-06-17,EMP0039,営業2部,主任,08:20,16:26,480,6,0,,0.8,あり,なし,なし,1274,PJ0015,本社,フレックス,火,事務
2025-06-17,EMP0193,DX推進部,係長,10:46,18:46,480,0,0,,0.1,なし,あり,なし,1476,PJ0011,リモート,フレックス,火,事務
2025-06-17,EMP0121,製造1部,一般,08:33,16:04,480,31,0,,0.1,あり,なし,なし,1366,PJ0019,工場,シフトA,火,会議
2025-06-17,EMP0100,営業1部,主任,10:33,18:33,480,0,0,,0.8,なし,あり,なし,1071,PJ0022,大阪オフィス,シフトA,火,管理
2025-06-17,EMP0135,営業1部,主任,08:40,16:40,480,0,0,,0.0,あり,あり,なし,1445,PJ0026,大阪オフィス,シフトB,火,会議
2025-06-17,EMP0019,人事部,課長,09:54,17:36,480,42,0,,1.0,あり,なし,なし,1675,PJ0024,工場,通常,火,会議
2025-06-17,EMP0034,DX推進部,主任,08:05,16:05,480,0,0,,0.7,なし,あり,なし,1797,PJ0008,名古屋オフィス,通常,火,製造
2025-06-17,EMP0186,製造2部,一般,09:07,17:07,480,0,0,,0.5,あり,あり,なし,1223,PJ0028,福岡オフィス,夜勤,火,製造
2025-06-17,EMP0196,マーケ部,主任,09:23,17:32,480,9,0,,0.7,なし,あり,なし,849,PJ0018,名古屋オフィス,通常,火,製造
2025-06-17,EMP0012,製造2部,一般,10:24,18:24,480,0,0,,0.9,なし,なし,なし,1631,PJ0006,名古屋オフィス,シフトB,火,営業活動
2025-06-17,EMP0194,営業1部,係長,09:21,17:56,480,35,0,,0.8,あり,なし,なし,740,PJ0018,工場,夜勤,火,サポート
2025-06-17,EMP0101,DX推進部,課長,09:07,17:11,480,4,0,,0.4,なし,あり,なし,1814,PJ0025,リモート,通常,火,サポート
2025-09-23,EMP0003,経理部,係長,09:09,18:34,480,85,0,,0.4,あり,なし,なし,1517,PJ0023,大阪オフィス,フレックス,火,製造
2025-09-23,EMP0110,総務部,課長,09:14,17:03,480,49,0,,0.2,なし,なし,なし,1461,PJ0005,本社,シフトA,火,営業活動
2025-09-23,EMP0023,営業1部,課長,,,0,0,0,有給,0.8,なし,なし,なし,1055,PJ0008,工場,夜勤,火,会議
2025-09-23,EMP0095,総務部,一般,08:38,16:04,480,26,0,,0.7,なし,なし,なし,1708,PJ0020,工場,シフトA,火,会議
2025-09-23,EMP0094,人事部,課長,09:40,18:57,480,77,0,,0.2,あり,なし,なし,1693,PJ0026,大阪オフィス,通常,火,会議
